modelo,test_group,true_class,n_samples,accuracy,cenario
RandomForest,MAR_sick_tsh,MAR,50,0.0,C_no_prior
RandomForest,MAR_titanic_age,MAR,50,0.94,C_no_prior
RandomForest,MAR_titanic_age_v2,MAR,50,0.96,C_no_prior
RandomForest,MCAR_autompg_horsepower,MCAR,37,0.05405405405405406,C_no_prior
RandomForest,MCAR_breastcancer_barenuclei,MCAR,45,0.8888888888888888,C_no_prior
RandomForest,MCAR_cylinderbands_bladepressure,MCAR,50,0.08,C_no_prior
RandomForest,MCAR_cylinderbands_esavoltage,MCAR,50,0.04,C_no_prior
RandomForest,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_no_prior
RandomForest,MNAR_adult_capitalgain,MNAR,50,0.32,C_no_prior
RandomForest,MNAR_colic_refluxph,MNAR,50,0.2,C_no_prior
RandomForest,MNAR_cylinderbands_varnishpct,MNAR,50,0.04,C_no_prior
RandomForest,MNAR_kidney_pot,MNAR,50,0.44,C_no_prior
RandomForest,MNAR_kidney_sod,MNAR,50,0.32,C_no_prior
RandomForest,MNAR_mroz_wages,MNAR,50,0.06,C_no_prior
RandomForest,MNAR_pima_insulin,MNAR,50,0.0,C_no_prior
SVM_RBF,MAR_airquality_ozone,MAR,50,0.58,C_no_prior
SVM_RBF,MAR_colic_resprate,MAR,50,0.18,C_no_prior
SVM_RBF,MAR_hearth_chol,MAR,50,0.54,C_no_prior
SVM_RBF,MAR_kidney_hemo,MAR,50,0.2,C_no_prior
SVM_RBF,MAR_mammographic_density,MAR,50,0.02,C_no_prior
SVM_RBF,MAR_oceanbuoys_airtemp,MAR,50,0.98,C_no_prior
SVM_RBF,MAR_oceanbuoys_humidity,MAR,50,0.02,C_no_prior
SVM_RBF,MAR_sick_t3,MAR,50,0.08,C_no_prior
SVM_RBF,MAR_sick_tsh,MAR,50,0.02,C_no_prior
SVM_RBF,MAR_titanic_age,MAR,50,0.9,C_no_prior
SVM_RBF,MAR_titanic_age_v2,MAR,50,0.8,C_no_prior
SVM_RBF,MCAR_autompg_horsepower,MCAR,37,0.32432432432432434,C_no_prior
SVM_RBF,MCAR_breastcancer_barenuclei,MCAR,45,0.6888888888888889,C_no_prior
SVM_RBF,MCAR_cylinderbands_bladepressure,MCAR,50,0.08,C_no_prior
SVM_RBF,MCAR_cylinderbands_esavoltage,MCAR,50,0.08,C_no_prior
SVM_RBF,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_no_prior
SVM_RBF,MNAR_adult_capitalgain,MNAR,50,0.34,C_no_prior
